unifiedScreenClass,date,activeUsers,newUsers,sessions,averageSessionDuration,bounceRate,engagedSessions,engagementRate,eventCount,eventCountPerUser
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221210,8,7,8,30.780748874999997,0.625,3,0.375,38,4.75
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221219,8,8,10,19.998598800000003,0.5,5,0.5,57,7.125
Add to Cart,20221127,7,7,8,54.37239575,0.375,5,0.625,51,7.2857142857142856
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221024,7,4,8,149.623520125,0.25,6,0.75,78,11.142857142857142
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221119,7,5,10,16.909182899999998,0.5,5,0.5,46,6.5714285714285712
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221123,7,6,12,354.84280341666664,0.58333333333333337,5,0.41666666666666669,63,9
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221212,7,6,8,54.416667,0.5,4,0.5,46,6.5714285714285712
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221214,7,6,8,8.70880625,0.75,2,0.25,41,5.8571428571428568
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221217,7,4,8,189.273891625,0.625,3,0.375,33,4.7142857142857144
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221222,7,6,10,3.9941906000000005,0.7,3,0.3,42,6
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221227,7,6,8,254.379738,0.625,3,0.375,54,7.7142857142857144
Add to Cart,20221021,6,6,7,106.71910614285716,0.14285714285714285,6,0.8571428571428571,43,7.166666666666667
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221023,6,4,14,3.2648125714285712,0.8571428571428571,2,0.14285714285714285,46,7.666666666666667
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221028,6,4,7,247.26600771428571,0.2857142857142857,5,0.7142857142857143,34,5.666666666666667
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221216,6,5,7,103.98951957142856,0.5714285714285714,3,0.42857142857142855,32,5.333333333333333
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221224,6,6,8,18.519360624999997,0.625,3,0.375,34,5.666666666666667
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221226,6,4,6,16.449792166666668,0.5,3,0.5,35,5.833333333333333
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221229,6,4,8,114.42080887499999,0.625,3,0.375,32,5.333333333333333
Add to Cart,20221107,5,4,8,757.89346575,0.625,3,0.375,60,12
Add to Cart,20221108,5,4,7,199.89037228571428,0.5714285714285714,3,0.42857142857142855,33,6.6
Add to Cart,20221109,5,4,6,36.697644833333335,0.83333333333333337,1,0.16666666666666666,23,4.6
Add to Cart,20221118,5,5,5,3.9416062,1,0,0,19,3.8
Add to Cart,20221126,5,5,6,146.65572166666666,0.5,3,0.5,62,12.4
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221030,5,3,5,458.24028640000006,0.4,3,0.6,122,24.4
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221120,5,5,5,460.3392398,0.2,4,0.8,58,11.6
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221124,5,5,8,7.8766669999999994,0.625,3,0.375,39,7.8
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221213,5,3,6,9.311577999999999,0.83333333333333337,1,0.16666666666666666,24,4.8
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221215,5,5,6,4.5019909999999994,0.66666666666666663,2,0.33333333333333331,28,5.6
Add to Cart,20221122,4,3,5,12.453125,0.8,1,0.2,20,5
Add to Cart,20221201,4,4,4,3.762253,1,0,0,15,3.75
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221102,4,2,6,107.32813766666668,0.5,3,0.5,27,6.75
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221208,4,2,7,14.060884714285715,0.7142857142857143,2,0.2857142857142857,30,7.5
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221209,4,4,7,27.695268428571428,0.7142857142857143,2,0.2857142857142857,28,7
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221211,4,3,4,5.458985,0.75,1,0.25,18,4.5
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221225,4,4,4,12.33328525,0.5,2,0.5,21,5.25
Add to Cart,20221022,3,3,5,55.570613,0.8,1,0.2,17,5.666666666666667
Add to Cart,20221103,3,2,7,285.87627114285709,0.7142857142857143,2,0.2857142857142857,23,7.666666666666667
Add to Cart,20221117,3,3,4,10.49681125,0.75,1,0.25,17,5.666666666666667
Add to Cart,20221128,3,3,3,3.135361,1,0,0,11,3.6666666666666665
Add to Cart,20221130,3,3,3,17.908834666666667,0.66666666666666663,1,0.33333333333333331,16,5.333333333333333
Add to Cart,20221205,3,3,3,17.355713666666666,0.66666666666666663,1,0.33333333333333331,14,4.666666666666667
Add to Cart,20221220,3,3,4,4.8914425,1,0,0,15,5
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221025,3,1,4,356.41310125,0.25,3,0.75,20,6.666666666666667
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221218,3,3,5,8.5521198,0.8,1,0.2,23,7.666666666666667
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221230,3,3,3,14.533278666666666,0.33333333333333331,2,0.66666666666666663,17,5.666666666666667
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221231,3,3,3,4.0511913333333327,0.66666666666666663,1,0.33333333333333331,16,5.333333333333333
Add to Cart,20221028,2,1,2,373.3762765,0,2,1,10,5
Add to Cart,20221101,2,1,2,6.599572,0.5,1,0.5,7,3.5
Add to Cart,20221115,2,1,8,140.175940625,0.625,3,0.375,39,19.5
Add to Cart,20221121,2,2,2,4.943836,1,0,0,8,4
Add to Cart,20221125,2,2,2,4.620947,1,0,0,8,4
Add to Cart,20221207,2,2,3,30.209118333333333,0.66666666666666663,1,0.33333333333333331,13,6.5
Add to Cart,20221219,2,2,2,35.8464195,0.5,1,0.5,14,7
Add to Cart,20221224,2,2,2,5.0100285,1,0,0,8,4
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221027,2,1,3,3.9261503333333336,1,0,0,9,4.5
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221029,2,2,5,1.8356338,0.8,1,0.2,15,7.5
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221105,2,1,3,1.4210386666666668,1,0,0,8,4
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221221,2,2,5,0.9957056,1,0,0,15,7.5
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221223,2,2,2,2.929525,0.5,1,0.5,10,5
Add to Cart,20221023,1,1,1,5.117479,1,0,0,4,4
Add to Cart,20221024,1,1,3,176.23684733333334,0.33333333333333331,2,0.66666666666666663,11,11
Add to Cart,20221025,1,0,1,28.63243,0,1,1,3,3
Add to Cart,20221120,1,1,1,839.019869,0,1,1,8,8
Add to Cart,20221123,1,1,1,4.891249,1,0,0,4,4
Add to Cart,20221124,1,1,1,4.896762,1,0,0,4,4
Add to Cart,20221129,1,1,1,4.932616,1,0,0,4,4
Add to Cart,20221209,1,1,1,84.642114,0,1,1,6,6
Add to Cart,20221210,1,1,1,4.753046,1,0,0,4,4
Add to Cart,20221217,1,1,1,5.027633,1,0,0,4,4
Add to Cart,20221218,1,1,1,4.843757,1,0,0,4,4
Add to Cart,20221221,1,1,1,4.980288,1,0,0,4,4
Add to Cart,20221225,1,1,1,16.543286,0,1,1,6,6
Add to Cart,20221227,1,1,1,4.852435,1,0,0,4,4
Add to Cart,20221229,1,1,1,4.920766,1,0,0,4,4
Add to Cart,20221230,1,1,1,4.980209,1,0,0,4,4
Jornada nas Estrelas: O Jogo de Xadrez Tridimensional da Série Original | Loja Jornada nas Estrelas,20221227,1,0,1,14.045616,1,0,0,20,20
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221026,1,1,3,2.1668166666666666,1,0,0,10,10
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221031,1,1,2,0.0001705,1,0,0,6,6
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221104,1,1,2,0,1,0,0,5,5
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221106,1,1,1,0.000279,1,0,0,4,4
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221228,1,1,2,0,1,0,0,5,5
Add to Cart,20221027,0,0,1,3.891443,1,0,0,3,0
Add to Cart,20221031,0,0,1,0,1,0,0,2,0
Add to Cart,20221119,0,0,2,4.888355,1,0,0,6,0
