eventName,eventCount,activeUsers
page_view,3583,1705
scroll,2597,1263
session_start,2308,1704
first_visit,1702,1702
user_engagement,896,460
https://startrek-paramount-dropplabs.com,452,198
[object HTMLImageElement],399,237
[object HTMLDivElement],54,25
[object HTMLParagraphElement],27,13
[object HTMLBodyElement],13,4
click,10,7
[object HTMLElement],5,4
http://startrek-shop.myshopify.com/cart/,4,3
[object HTMLFontElement],2,1
[object HTMLSpanElement],1,1
