unifiedScreenClass,date,activeUsers,newUsers,sessions,averageSessionDuration,bounceRate,engagedSessions,engagementRate,eventCount,eventCountPerUser
Add to Cart,2022-11-17,3,3,4,10.49681125,0.75,1,0.25,17,5.666666666666667
Add to Cart,2022-11-28,3,3,3,3.135361,1.0,0,0.0,11,3.6666666666666665
Add to Cart,2022-11-30,3,3,3,17.908834666666667,0.6666666666666666,1,0.3333333333333333,16,5.333333333333333
Add to Cart,2022-12-05,3,3,3,17.355713666666666,0.6666666666666666,1,0.3333333333333333,14,4.666666666666667
Add to Cart,2022-11-15,2,1,8,140.175940625,0.625,3,0.375,39,19.5
Add to Cart,2022-11-21,2,2,2,4.943836,1.0,0,0.0,8,4.0
Add to Cart,2022-11-25,2,2,2,4.620947,1.0,0,0.0,8,4.0
Add to Cart,2022-12-07,2,2,3,30.209118333333333,0.6666666666666666,1,0.3333333333333333,13,6.5
Add to Cart,2022-11-20,1,1,1,839.019869,0.0,1,1.0,8,8.0
Add to Cart,2022-11-23,1,1,1,4.891249,1.0,0,0.0,4,4.0
Add to Cart,2022-11-24,1,1,1,4.896762,1.0,0,0.0,4,4.0
Add to Cart,2022-11-29,1,1,1,4.932616,1.0,0,0.0,4,4.0
Add to Cart,2022-12-09,1,1,1,84.642114,0.0,1,1.0,6,6.0
Add to Cart,2022-12-10,1,1,1,4.753046,1.0,0,0.0,4,4.0
Add to Cart,2022-11-19,0,0,2,4.888355,1.0,0,0.0,6,0.0
